congress,house,bill,amend_num,member,party,state,amends_count
114,H.R.,1735,227," Blumenauer, Earl ",D,OR,1
114,H.R.,1735,219," Brooks, Mo ",R,AL,1
114,H.R.,1735,235," Burgess, Michael C. ",R,TX,1
114,H.R.,1735,223," Hunter, Duncan D. ",R,CA,1
114,H.R.,1735,232," Jackson Lee, Sheila ",D,TX,1
114,H.R.,1735,226," Lamborn, Doug ",R,CO,1
114,H.R.,1735,230," Lucas, Frank D. ",R,OK,1
114,H.R.,1735,228," Lummis, Cynthia M. ",R,WY,1
114,H.R.,1735,222," McCaul, Michael T. ",R,TX,1
114,H.R.,1735,231," Nadler, Jerrold ",D,NY,1
114,H.R.,1735,217," Polis, Jared ",D,CO,1
114,H.R.,1735,225," Rohrabacher, Dana ",R,CA,1
114,H.R.,1735,221," Smith, Adam ",D,WA,1
114,H.R.,1735,237," Thornberry, Mac ",R,TX,8
114,H.R.,1735,236," Thornberry, Mac ",R,TX,
114,H.R.,1735,234," Thornberry, Mac ",R,TX,
114,H.R.,1735,233," Thornberry, Mac ",R,TX,
114,H.R.,1735,229," Thornberry, Mac ",R,TX,
114,H.R.,1735,224," Thornberry, Mac ",R,TX,
114,H.R.,1735,218," Thornberry, Mac ",R,TX,
114,H.R.,1735,216," Thornberry, Mac ",R,TX,
114,H.R.,1735,220," Walorski, Jackie ",R,IN,1
