congress,house,congress,bill,amend_num,member,party,state,district,amend_count
113,H.R.,114,4435,681,"Blumenauer, Earl ",D,OR,3,
113,H.R.,114,4435,664,"Blumenauer, Earl ",D,OR,3,2
113,H.R.,114,4435,669,"Daines, Steve ",R,MT,0,1
113,H.R.,114,4435,668,"Garamendi, John ",D,CA,3,1
113,H.R.,114,4435,665,"Gohmert, Louie ",R,TX,1,1
113,H.R.,114,4435,683,"Hastings, Doc ",R,WA,4,1
113,H.R.,114,4435,677,"Heck, Denny ",D,WA,10,1
113,H.R.,114,4435,678,"Jenkins, Lynn ",R,KS,2,1
113,H.R.,114,4435,679,"Lamborn, Doug ",R,CO,5,
113,H.R.,114,4435,670,"Lamborn, Doug ",R,CO,5,
113,H.R.,114,4435,667,"Lamborn, Doug ",R,CO,5,3
113,H.R.,114,4435,687,"McKeon, Howard P. ""Buck"" ",R,CA,25,
113,H.R.,114,4435,686,"McKeon, Howard P. ""Buck"" ",R,CA,25,
113,H.R.,114,4435,685,"McKeon, Howard P. ""Buck"" ",R,CA,25,
113,H.R.,114,4435,684,"McKeon, Howard P. ""Buck"" ",R,CA,25,
113,H.R.,114,4435,682,"McKeon, Howard P. ""Buck"" ",R,CA,25,
113,H.R.,114,4435,672,"McKeon, Howard P. ""Buck"" ",R,CA,25,6
113,H.R.,114,4435,671,"McKinley, David B. ",R,WV,1,1
113,H.R.,114,4435,666,"Sanchez, Loretta ",D,CA,46,1
113,H.R.,114,4435,680,"Schiff, Adam B. ",D,CA,28,1
113,H.R.,114,4435,674,"Shimkus, John ",R,IL,15,1
113,H.R.,114,4435,676,"Smith, Adam ",D,WA,9,
113,H.R.,114,4435,675,"Smith, Adam ",D,WA,9,2
113,H.R.,114,4435,673,"Westmoreland, Lynn A. ",R,GA,3,1
