congress,bill,amend_num,rep,party,state,amend_count
116,2500,539," Amash, Justin ",I,MI-3,1
116,2500,528," Blumenauer, Earl ",D,OR-3,
116,2500,529," Blumenauer, Earl ",D,OR-3,2
116,2500,511," Brindisi, Anthony ",D,NY-22,1
116,2500,525," Cicilline, David N",D,RI-1,1
116,2500,513," Connolly, Gerald E",D,VA-11,
116,2500,514," Connolly, Gerald E",D,VA-11,2
116,2500,562," Dingell, Debbie ",D,MI-12,1
116,2500,526," Engel, Eliot L",D,NY-16,
116,2500,527," Engel, Eliot L",D,NY-16,2
116,2500,530," Frankel, Lois ",D,FL-21,1
116,2500,557," Garcia, Sylvia R",D,TX-29,1
116,2500,542," Horn, Kendra S",D,OK-5,
116,2500,543," Horn, Kendra S",D,OK-5,
116,2500,544," Horn, Kendra S",D,OK-5,
116,2500,545," Horn, Kendra S",D,OK-5,
116,2500,546," Horn, Kendra S",D,OK-5,
116,2500,547," Horn, Kendra S",D,OK-5,
116,2500,548," Horn, Kendra S",D,OK-5,
116,2500,549," Horn, Kendra S",D,OK-5,8
116,2500,536," Huffman, Jared ",D,CA-2,1
116,2500,563," Jayapal, Pramila ",D,WA-7,1
116,2500,551," Khanna, Ro ",D,CA-17,
116,2500,554," Khanna, Ro ",D,CA-17,2
116,2500,531," Langevin, James R",D,RI-2,1
116,2500,538," Lee, Barbara ",D,CA-13,
116,2500,555," Lee, Barbara ",D,CA-13,
116,2500,556," Lee, Barbara ",D,CA-13,3
116,2500,522," Lieu, Ted ",D,CA-33,
116,2500,523," Lieu, Ted ",D,CA-33,
116,2500,534," Lieu, Ted ",D,CA-33,3
116,2500,561," Malinowski, Tom ",D,NJ-7,1
116,2500,558," Ocasio-Cortez, Alexandria ",D,NY-14,
116,2500,559," Ocasio-Cortez, Alexandria ",D,NY-14,2
116,2500,516," Omar, Ilhan ",D,MN-5,1
116,2500,537," Pappas, Chris ",D,NH-1,1
116,2500,535," Raskin, Jamie ",D,MD-8,1
116,2500,515," Shalala, Donna E",D,FL-27,1
116,2500,521," Sherman, Brad ",D,CA-30,1
116,2500,507," Smith, Adam ",D,WA-9,
116,2500,508," Smith, Adam ",D,WA-9,
116,2500,517," Smith, Adam ",D,WA-9,
116,2500,518," Smith, Adam ",D,WA-9,
116,2500,519," Smith, Adam ",D,WA-9,
116,2500,520," Smith, Adam ",D,WA-9,
116,2500,524," Smith, Adam ",D,WA-9,
116,2500,532," Smith, Adam ",D,WA-9,
116,2500,540," Smith, Adam ",D,WA-9,
116,2500,541," Smith, Adam ",D,WA-9,
116,2500,550," Smith, Adam ",D,WA-9,
116,2500,564," Smith, Adam ",D ,WA-9,12
116,2500,509," Speier, Jackie ",D,CA-14,
116,2500,510," Speier, Jackie ",D,CA-14,2
116,2500,533," Takano, Mark ",D,CA-41,1
116,2500,560," Thompson, Bennie G",D,MS-2,1
116,2500,552," Tipton, Scott R",R,CO-3,1
116,2500,512," Torres, Norma J",D,CA-35,1
116,2500,553," Turner, Michael R",R,OH-10,1
