state,district,member,party,start,end
Alabama,1,"Byrne, Bradley", R,01/03/15,01/03/17
Alabama,2,"Roby, Martha", R,01/03/15,01/03/17
Alabama,3,"Rogers, Mike", R,01/03/15,01/03/17
Alabama,4,"Aderholt, Robert", R,01/03/15,01/03/17
Alabama,5,"Brooks, Mo", R,01/03/15,01/03/17
Alabama,6,"Palmer, Gary", R,01/03/15,01/03/17
Alabama,7,"Sewell, Terri", D,01/03/15,01/03/17
Alaska,1,"Young, Don", R,01/03/15,01/03/17
Arizona,1,"Kirkpatrick, Ann", D,01/03/15,01/03/17
Arizona,2,"McSally, Martha", R,01/03/15,01/03/17
Arizona,3,"Grijalva, Raúl", D,01/03/15,01/03/17
Arizona,4,"Gosar, Paul", R,01/03/15,01/03/17
Arizona,5,"Salmon, Matt", R,01/03/15,01/03/17
Arizona,6,"Schweikert, David", R,01/03/15,01/03/17
Arizona,7,"Gallego, Ruben", D,01/03/15,01/03/17
Arizona,8,"Franks, Trent", R,01/03/15,01/03/17
Arizona,9,"Sinema, Kyrsten", D,01/03/15,01/03/17
Arkansas,1,"Crawford, Rick", R,01/03/15,01/03/17
Arkansas,2,"Hill, French", R,01/03/15,01/03/17
Arkansas,3,"Womack, Steve", R,01/03/15,01/03/17
Arkansas,4,"Westerman, Bruce", R,01/03/15,01/03/17
California,1,"LaMalfa, Doug", R,01/03/15,01/03/17
California,2,"Huffman, Jared", D,01/03/15,01/03/17
California,3,"Garamendi, John", D,01/03/15,01/03/17
California,4,"McClintock, Tom", R,01/03/15,01/03/17
California,5,"Thompson, Mike", D,01/03/15,01/03/17
California,6,"Matsui, Doris", D,01/03/15,01/03/17
California,7,"Bera, Ami", D,01/03/15,01/03/17
California,8,"Cook, Paul", R,01/03/15,01/03/17
California,9,"McNerney, Jerry", D,01/03/15,01/03/17
California,10,"Denham, Jeff", R,01/03/15,01/03/17
California,11,"DeSaulnier, Mark", D,01/03/15,01/03/17
California,12,"Pelosi, Nancy", D,01/03/15,01/03/17
California,13,"Lee, Barbara", D,01/03/15,01/03/17
California,14,"Speier, Jackie", D,01/03/15,01/03/17
California,15,"Swalwell, Eric", D,01/03/15,01/03/17
California,16,"Costa, Jim", D,01/03/15,01/03/17
California,17,"Honda, Mike", D,01/03/15,01/03/17
California,18,"Eshoo, Anna", D,01/03/15,01/03/17
California,19,"Lofgren, Zoe", D,01/03/15,01/03/17
California,20,"Farr, Sam", D,01/03/15,01/03/17
California,21,"Valadao, David", R,01/03/15,01/03/17
California,22,"Nunes, Devin", R,01/03/15,01/03/17
California,23,"McCarthy, Kevin", R,01/03/15,01/03/17
California,24,"Capps, Lois", D,01/03/15,01/03/17
California,25,"Knight, Steve", R,01/03/15,01/03/17
California,26,"Brownley, Julia", D,01/03/15,01/03/17
California,27,"Chu, Judy", D,01/03/15,01/03/17
California,28,"Schiff, Adam", D,01/03/15,01/03/17
California,29,"Cardenas, Tony", D,01/03/15,01/03/17
California,30,"Sherman, Brad", D,01/03/15,01/03/17
California,31,"Aguilar, Pete", D,01/03/15,01/03/17
California,32,"Napolitano, Grace", D,01/03/15,01/03/17
California,33,"Lieu, Ted", D,01/03/15,01/03/17
California,34,"Becerra, Xavier", D,01/03/15,01/03/17
California,35,"Torres, Norma", D,01/03/15,01/03/17
California,36,"Ruiz, Raul", D,01/03/15,01/03/17
California,37,"Bass, Karen", D,01/03/15,01/03/17
California,38,"Sánchez, Linda", D,01/03/15,01/03/17
California,39,"Royce, Ed", R,01/03/15,01/03/17
California,40,"Roybal-Allard, Lucille", D,01/03/15,01/03/17
California,41,"Takano, Mark", D,01/03/15,01/03/17
California,42,"Calvert, Ken", R,01/03/15,01/03/17
California,43,"Waters, Maxine", D,01/03/15,01/03/17
California,44,"Hahn, Janice", D,01/03/15,12/04/16
California,45,"Walters, Mimi", R,01/03/15,01/03/17
California,46,"Sanchez, Loretta", D,01/03/15,01/03/17
California,47,"Lowenthal, Alan", D,01/03/15,01/03/17
California,48,"Rohrabacher, Dana", R,01/03/15,01/03/17
California,49,"Issa, Darrell", R,01/03/15,01/03/17
California,50,"Hunter, Duncan D.", R,01/03/15,01/03/17
California,51,"Vargas, Juan", D,01/03/15,01/03/17
California,52,"Peters, Scott", D,01/03/15,01/03/17
California,53,"Davis, Susan", D,01/03/15,01/03/17
Colorado,1,"DeGette, Diana", D,01/03/15,01/03/17
Colorado,2,"Polis, Jared", D,01/03/15,01/03/17
Colorado,3,"Tipton, Scott", R,01/03/15,01/03/17
Colorado,4,"Buck, Ken", R,01/03/15,01/03/17
Colorado,5,"Lamborn, Doug", R,01/03/15,01/03/17
Colorado,6,"Coffman, Mike", R,01/03/15,01/03/17
Colorado,7,"Perlmutter, Ed", D,01/03/15,01/03/17
Connecticut,1,"Larson, John", D,01/03/15,01/03/17
Connecticut,2,"Courtney, Joe", D,01/03/15,01/03/17
Connecticut,3,"DeLauro, Rosa", D,01/03/15,01/03/17
Connecticut,4,"Himes, Jim", D,01/03/15,01/03/17
Connecticut,5,"Esty, Elizabeth", D,01/03/15,01/03/17
Delaware,1,"Carney, John", D,01/03/15,01/03/17
Florida,1,"Miller, Jeff", R,01/03/15,01/03/17
Florida,2,"Graham, Gwen", D,01/03/15,01/03/17
Florida,3,"Yoho, Ted", R,01/03/15,01/03/17
Florida,4,"Crenshaw, Ander", R,01/03/15,01/03/17
Florida,5,"Brown, Corrine", D,01/03/15,01/03/17
Florida,6,"DeSantis, Ron", R,01/03/15,01/03/17
Florida,7,"Mica, John", R,01/03/15,01/03/17
Florida,8,"Posey, Bill", R,01/03/15,01/03/17
Florida,9,"Grayson, Alan", D,01/03/15,01/03/17
Florida,10,"Webster, Daniel", R,01/03/15,01/03/17
Florida,11,"Nugent, Rich", R,01/03/15,01/03/17
Florida,12,"Bilirakis, Gus", R,01/03/15,01/03/17
Florida,13,"Jolly, David", R,01/03/15,01/03/17
Florida,14,"Castor, Kathy", D,01/03/15,01/03/17
Florida,15,"Ross, Dennis A.", R,01/03/15,01/03/17
Florida,16,"Buchanan, Vern", R,01/03/15,01/03/17
Florida,17,"Rooney, Tom", R,01/03/15,01/03/17
Florida,18,"Murphy, Patrick", D,01/03/15,01/03/17
Florida,19,"Clawson, Curt", R,01/03/15,01/03/17
Florida,20,"Hastings, Alcee", D,01/03/15,01/03/17
Florida,21,"Deutch, Ted", D,01/03/15,01/03/17
Florida,22,"Frankel, Lois", D,01/03/15,01/03/17
Florida,23,"Wasserman, Debbie", D,01/03/15,01/03/17
Florida,24,"Wilson, Frederica", D,01/03/15,01/03/17
Florida,25,"Díaz-Balart, Mario", R,01/03/15,01/03/17
Florida,26,"Curbelo, Carlos", R,01/03/15,01/03/17
Florida,27,"Ros-Lehtinen, Ileana", R,01/03/15,01/03/17
Georgia,1,"Carter, Buddy", R,01/03/15,01/03/17
Georgia,2,"Bishop, Sanford", D,01/03/15,01/03/17
Georgia,3,"Westmoreland, Lynn", R,01/03/15,01/03/17
Georgia,4,"Johnson, Hank", D,01/03/15,01/03/17
Georgia,5,"Lewis, John", D,01/03/15,01/03/17
Georgia,6,"Price, Tom", R,01/03/15,01/03/17
Georgia,7,"Woodall, Rob", R,01/03/15,01/03/17
Georgia,8,"Scott, Austin", R,01/03/15,01/03/17
Georgia,9,"Collins, Doug", R,01/03/15,01/03/17
Georgia,10,"Hice, Jody", R,01/03/15,01/03/17
Georgia,11,"Loudermilk, Barry", R,01/03/15,01/03/17
Georgia,12,"Allen, Rick", R,01/03/15,01/03/17
Georgia,13,"Scott, David", D,01/03/15,01/03/17
Georgia,14,"Graves, Tom", R,01/03/15,01/03/17
Hawaii,1,"Takai, Mark", D,01/03/15,07/20/16
Hawaii,1,"Hanabusa, Colleen", D,11/08/16,01/03/17
Hawaii,2,"Gabbard, Tulsi", D,01/03/15,01/03/17
Idaho,1,"Labrador, Raul", R,01/03/15,01/03/17
Idaho,2,"Simpson, Mike", R,01/03/15,01/03/17
Illinois,1,"Rush, Bobby", D,01/03/15,01/03/17
Illinois,2,"Kelly, Robin", D,01/03/15,01/03/17
Illinois,3,"Lipinski, Dan", D,01/03/15,01/03/17
Illinois,4,"Gutiérrez, Luis", D,01/03/15,01/03/17
Illinois,5,"Quigley, Mike", D,01/03/15,01/03/17
Illinois,6,"Roskam, Peter", R,01/03/15,01/03/17
Illinois,7,"Davis, Danny", D,01/03/15,01/03/17
Illinois,8,"Duckworth, Tammy", D,01/03/15,01/03/17
