"","district_code","state","state_abbrev","state_code","district","member","party","party_d","party_r","start","end","hasc_chair","hasc_rank","hasc_mem","hacd_chair","hacd_rank","hacd_mem","oversight","amend_count_116_2500","amend_dummy","distance_km"
"1",101,"Alabama","AL",1,1,"Byrne, Bradley","R",0,1,"01/03/19","01/03/21",0,0,1,0,0,0,1,0,0,0.819935179236
"2",102,"Alabama","AL",1,2,"Roby, Martha","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.443696481924
"3",103,"Alabama","AL",1,3,"Rogers , Mike","R",0,1,"01/03/19","01/03/21",0,0,1,0,0,0,1,0,0,0.562049360864
"4",104,"Alabama","AL",1,4,"Aderholt, Robert","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,1,1,0,0,0.747063874044
"5",105,"Alabama","AL",1,5,"Brooks, Mo","R",0,1,"01/03/19","01/03/21",0,0,1,0,0,0,1,0,0,0.132752199241
"6",106,"Alabama","AL",1,6,"Palmer , Gary","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.839712555023
"7",107,"Alabama","AL",1,7,"Sewell, Terri","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.950355026628
"8",200,"Alaska","AK",2,0,"Young, Don","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,3.15952849537
"9",401,"Arizona","AZ",4,1,"O'Halleran, Tom","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,1.13484564531
"10",402,"Arizona","AZ",4,2,"Kirkpatrick, Ann","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,1,1,0,0,0.247507168962
"11",403,"Arizona","AZ",4,3,"Grijalva, Raúl","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.671477843369
"12",404,"Arizona","AZ",4,4,"Gosar, Paul","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,1.36793529269
"13",405,"Arizona","AZ",4,5,"Biggs, Andy","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.68831641381
"14",406,"Arizona","AZ",4,6,"Schweikert, David","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.500716643443
"15",407,"Arizona","AZ",4,7,"Gallego, Ruben","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.276408454368
"16",408,"Arizona","AZ",4,8,"Lesko, Debbie","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.172816802494
"17",409,"Arizona","AZ",4,9,"Stanton, Greg","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.443903793435
"18",501,"Arkansas","AR",5,1,"Crawford , Rick","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.976615886198
"19",502,"Arkansas","AR",5,2,"Hill , French","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.209220916032
"20",503,"Arkansas","AR",5,3,"Womack, Steve","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,1,1,0,0,0.754563981746
"21",504,"Arkansas","AR",5,4,"Westerman, Bruce","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,1.12875069828
"22",601,"California","CA",6,1,"LaMalfa, Doug","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,1.48074690415
"23",602,"California","CA",6,2,"Huffman, Jared","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,1,1,2.21205313597
"24",603,"California","CA",6,3,"Garamendi, John","D",1,0,"01/03/19","01/03/21",0,0,1,0,0,0,1,0,0,0.703837915551
"25",604,"California","CA",6,4,"McClintock, Tom","R",0,1,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.55457386875
"26",605,"California","CA",6,5,"Thompson , Mike","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.347311715392
"27",606,"California","CA",6,6,"Matsui, Doris","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.102214377049
"28",607,"California","CA",6,7,"Bera, Ami","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.258061975623
"29",608,"California","CA",6,8,"Cook , Paul","R",0,1,"01/03/19","01/03/21",0,0,1,0,0,0,1,0,0,0.350415538515
"30",609,"California","CA",6,9,"McNerney, Jerry","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.654082864154
"31",610,"California","CA",6,10,"Harder, Josh","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.847902520465
"32",611,"California","CA",6,11,"DeSaulnier, Mark","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.0899693147094
"33",612,"California","CA",6,12,"Pelosi, Nancy","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.392320960645
"34",613,"California","CA",6,13,"Lee, Barbara","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,3,1,0.332340515771
"35",614,"California","CA",6,14,"Speier, Jackie","D",1,0,"01/03/19","01/03/21",0,0,1,0,0,0,1,2,1,0.523641192744
"36",615,"California","CA",6,15,"Swalwell, Eric","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.105809204593
"37",616,"California","CA",6,16,"Costa, Jim","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.99215704295
"38",617,"California","CA",6,17,"Khanna, Ro","D",1,0,"01/03/19","01/03/21",0,0,1,0,0,0,1,2,1,0.298515661075
"39",618,"California","CA",6,18,"Eshoo, Anna","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.587530024981
"40",619,"California","CA",6,19,"Lofgren, Zoe","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.607666860197
"41",620,"California","CA",6,20,"Panetta, Jimmy","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.419996963827
"42",621,"California","CA",6,21,"Cox, TJ","D",1,0,"01/03/19","01/03/21",0,0,0,0,0,0,0,0,0,0.251320797553
