Downloaded on,05/01/2020,14:28:06 EDT,,,,,,,,,,,
Search URL,https://www.congress.gov/advanced-search/legislation?congresses%5B0%5D=116&congresses%5B1%5D=115&congresses%5B2%5D=114&congresses%5B3%5D=113&legislationNumbers=&restrictionType=includeBillText&restrictionFields%5B0%5D=allBillTitles&restrictionFields%5B1%5D=summary&summaryField=billSummary&enterTerms=&wordVariants=true&legislationTypes%5B0%5D=hr&public=true&private=true&chamber=all&actionTerms=&legislativeActionWordVariants=true&dateOfActionOperator=equal&dateOfActionStartDate=&dateOfActionEndDate=&dateOfActionIsOptions=yesterday&dateOfActionToggle=multi&legislativeAction=Any&sponsorState=One&member=&sponsorTypes%5B0%5D=sponsor&sponsorTypes%5B1%5D=sponsor&sponsorTypeBool=OR&committeeActivity%5B0%5D=0&committeeActivity%5B1%5D=3&committeeActivity%5B2%5D=11&committeeActivity%5B3%5D=12&committeeActivity%5B4%5D=4&committeeActivity%5B5%5D=2&committeeActivity%5B6%5D=5&committeeActivity%5B7%5D=9&satellite=%7B%22Actions%22%3A%7B%22operator%22%3A%22OR%22%2C%22actions%22%3A%7B%2214%22%3A%22House+committee%5C%2Fsubcommittee+markups%22%2C%2234%22%3A%22House+amendment+actions%22%2C%2235%22%3A%22House+amendment+offered%5C%2Freported+by%22%7D%7D%2C%22Subject+-+Policy+Area%22%3A%7B%22policyAreas%22%3A%5B%5D%7D%2C%22Legislative+Subject+Terms%22%3A%7B%22operator%22%3A%22OR%22%2C%22subjects%22%3A%5B%22Military+assistance%2C+sales%2C+and+agreements%22%2C%22Military+civil+functions%22%2C%22Military+command+and+structure%22%2C%22Military+education+and+training%22%2C%22Military+facilities+and+property%22%2C%22Military+law%22%2C%22Military+medicine%22%2C%22Military+operations+and+strategy%22%2C%22Military+personnel+and+dependents%22%2C%22Military+procurement%2C+research%2C+weapons+development%22%2C%22Military+readiness%22%5D%7D%7D&search=&submitted=Submitted&searchResultViewType=expanded&KWICView=false,,,,,,,,,,,,
,,,,,,,,,,,,,
Legislation Number,URL,Congress,Amends Bill,Title,Sponsor,Date of Introduction,Date Offered,Date Submitted,Date Proposed,Number of Cosponsors,Committees,Latest Action Date,Latest Action
H.R. 5003,https://www.congress.gov/bill/116th-congress/house-bill/5003,116th Congress (2019-2020),,Fair Debt Collection Practices for Servicemembers Act,"Rep. Dean, Madeleine [D-PA-4]",11/08/2019,,,,1,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",03/03/2020,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
H.R. 4862,https://www.congress.gov/bill/116th-congress/house-bill/4862,116th Congress (2019-2020),,United States-Jordan Defense Cooperation Extension Act,"Rep. Deutch, Theodore E. [D-FL-22]",10/28/2019,,,,10,House - Foreign Affairs,10/30/2019,Ordered to be Reported by Unanimous Consent.
H.R. 4754,https://www.congress.gov/bill/116th-congress/house-bill/4754,116th Congress (2019-2020),,Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019,"Rep. Curtis, John R. [R-UT-3]",10/18/2019,,,,47,"House - Foreign Affairs, Ways and Means",10/30/2019,Ordered to be Reported (Amended) by Unanimous Consent.
H.R. 4625,https://www.congress.gov/bill/116th-congress/house-bill/4625,116th Congress (2019-2020),,Protect the GI Bill Act,"Rep. Levin, Mike [D-CA-49]",10/08/2019,,,,1,House - Veterans' Affairs | Senate - Veterans' Affairs,11/13/2019,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 4356,https://www.congress.gov/bill/116th-congress/house-bill/4356,116th Congress (2019-2020),,Protecting Families of Fallen Servicemembers Act,"Rep. Harder, Josh [D-CA-10]",09/17/2019,,,,1,House - Veterans' Affairs | Senate - Veterans' Affairs,11/13/2019,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 4270,https://www.congress.gov/bill/116th-congress/house-bill/4270,116th Congress (2019-2020),,Placing Restrictions on Teargas Exports and Crowd Control Technology to Hong Kong Act,"Rep. McGovern, James P. [D-MA-2]",09/10/2019,,,,32,"House - Foreign Affairs | Senate - Banking, Housing, and Urban Affairs",10/16/2019,"Received in the Senate and Read twice and referred to the Committee on Banking, Housing, and Urban Affairs."
H.R. 4162,https://www.congress.gov/bill/116th-congress/house-bill/4162,116th Congress (2019-2020),,GI Bill Planning Act of 2019,"Rep. Bergman, Jack [R-MI-1]",08/06/2019,,,,15,House - Veterans' Affairs | Senate - Veterans' Affairs,11/13/2019,Received in the Senate and Read twice and referred to the Committee on Veterans' Affairs.
H.R. 3734,https://www.congress.gov/bill/116th-congress/house-bill/3734,116th Congress (2019-2020),,Successful Entrepreneurship for Reservists and Veterans Act,"Rep. Davids, Sharice [D-KS-3]",07/12/2019,,,,6,House - Small Business | Senate - Small Business and Entrepreneurship,11/14/2019,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.
H.R. 3661,https://www.congress.gov/bill/116th-congress/house-bill/3661,116th Congress (2019-2020),,Patriotic Employer Protection Act of 2019,"Rep. Kim, Andy [D-NJ-3]",07/10/2019,,,,9,House - Small Business | Senate - Small Business and Entrepreneurship,11/14/2019,Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship.
H.R. 3622,https://www.congress.gov/bill/116th-congress/house-bill/3622,116th Congress (2019-2020),,Restoring Unfairly Impaired Credit and Protecting Consumers Act,"Rep. Tlaib, Rashida [D-MI-13]",07/05/2019,,,,0,House - Financial Services,12/23/2019,"Placed on the Union Calendar, Calendar No. 287."
